,store,address,Latitude,Longitude,phone
32,포항유강점,경북 포항시 남구 연일읍 유강길9번길 35,36.0033948,129.316056,054)272-8300
33,경주황성점,경북 경주시 용담로104번길 25 (현대1차 후문 앞),35.8664878,129.2110431,054)744-5588
34,울산화봉점,울산 북구 화봉로 79 (화봉파출소 옆),35.5886227,129.3681305,052)288-3877
35,울산남창점,울산 울주군 온양읍 연안2길 7 (상아1차 앞),35.4094757,129.2821159,052)237-6633
36,양산북정점,경남 양산시 삼성5길 11-12,35.3566832,129.0413971,055)363-4477
37,김해삼계점,경남 김해시 삼계중앙로 12 (장신대역 옆),35.259728,128.8673265,055)333-3553
38,남부민점,부산 서구 충무대로 246,35.0926611,129.0244828,051)244-1221
39,마산호계점,경남 창원시 마산회원구 내서읍 호계안길 97 (동서병원 옆),35.2587757,128.5218685,055)231-0031
40,울산천상점,울산 울주군 범서읍 천상길 34,35.5615484,129.2276439,052)212-9889
41,진해점,경남 창원시 진해구 충장로523번길 7 (동진여중 밑),35.1430155,128.7021315,055)544-2662
42,장승포점,경남 거제시 신부로 42-15,34.8710643,128.7304181,055)682-5485~6
43,포항우현점,경북 포항시 북구 중앙로419번길 29,36.0500666,129.359066,054)232-5201
44,밀양가곡점,경남 밀양시 가곡7길 24 (밀양한전 옆),35.4737386,128.7655954,055)356-2001
45,김해외동점,경남 김해시 분성로 104 (중앙병원 옆),35.2305547,128.858284,055)339-5900
46,장림점,부산 사하구 다대로 296 (신장림역 3번출구),35.0758798,128.9762832,051)262-1991
47,영도동삼점,부산 영도구 동삼로 56,35.0783481,129.070773,051)405-8000
48,구포점,부산 북구 백양대로 1052 (맥도날드 구남점 맞은편),35.1989413,128.9971872,051)331-3000
49,포항죽도점,경북 포항시 북구 죽도로 90,36.032985,129.3702896,054)281-4800
50,창원반지점,경남 창원시 성산구 창원천로 292 (대동그린코아상가),35.2452893,128.6697888,055)276-8600
51,통영죽림점,경남 통영시 광도면 신죽1길 18 (죽림초 앞),34.8766157,128.4154678,055)643-5112
52,진주호탄점,경남 진주시 동부로 73 (경남정보고 맞은편),35.1618691,128.1149155,055)762-2442
53,창원동읍점,경남 창원시 의창구 동읍 동읍로 1-10,35.2776345,128.6833987,055)255-0707
54,안강점,경북 경주시 안강읍 비화동길 41,35.9885536,129.2256744,054)761-3113
55,현풍점,대구 달성군 현풍읍 현풍로 10길 74,35.6930745,128.4449876,053)617-7557
56,온천점,부산 동래구 아시아드대로 215,35.2034664,129.066253,051)504-8100
57,창녕점,경남 창녕군 창녕읍 술정동탑길 4,35.5377104,128.495966,055)533-4664
58,포항문덕점,경북 포항시 남구 오천읍 원동로 33 (원동초 후문 앞),35.9663618,129.4020101,054)291-8899
59,감천점,부산 사하구 감천로 29,35.0918859,128.9961411,051)202-3555
60,청도점,경북 청도군 청도읍 고수동4길 7-11,35.6424951,128.7456357,054)373-8223
61,진주금산점,경남 진주시 금산면 금산순환로 36,35.2172349,128.1482959,055)755-6336
62,영천점,경북 영천시 동부로 64 (참편한요양병원 옆),35.9761557,128.9481168,054)336-6767
63,서대신점,부산 서구 대영로 5 (서대신역 4번출구),35.110912,129.012058,051)255-0022
64,울산구영점,울산 울주군 범서읍 점촌5길 6 (울주경찰서 뒤),35.5699881,129.2423486,052)244-6606
65,초량점,"부산 동구 초량로13번길 53 (구, 남선창고)",35.1167718,129.0395023,051)466-2112
66,마산석전점,경남 창원시 마산회원구 양덕옛2길 13 (우성아파트 앞),35.2290836,128.576413,055)255-3223
67,남산점,부산 금정구 금샘로 456(남산동) (남산성당 옆),35.2636583,129.0854251,051)515-9696
68,뉴창원점,경남 창원시 의창구 사화로17번길 3 (창원역 맞은편),35.2575081,128.6094808,055)299-1991
69,정관점,부산 기장군 정관면 산단1로 133 (삼성자동차서비스 옆),35.3147386,129.1781594,051)727-5766
70,진주충무공점,경남 진주시 에나로 128번길 28 (LH본사 정문사거리 앞),35.1778697,128.1472593,055-742-1260
71,장유관동점,경남 김해시 덕정로 85,35.1798776,128.7946888,055-337-6133
72,서진주점,경남 진주시 새평거로 136 (평거동 921),35.1813916,128.0697983,055)743-6300
73,대구점,대구 중구 중앙대로 66길 20 (효성해링턴 지하),35.8620735,128.5946855,053)251-5000
74,물금역점,"경남 양산시 물금읍 물금중앙길 18 (구, 물금시장)",35.3099263,128.984952,055-387-3008
75,경주용강점,경북 경주시 산업로 4348 (용강동),35.8705357,129.2319394,054)744-5501~2
76,부곡점,부산 금정구 부곡동 79 (부곡동 333-1),35.2231405,129.0905653,051)583-1501~2
